#,Sample ID,Date and Time,Nucleic Acid Conc. (ng/µl),A260,A280,260/280,260/230
1,ABO,9/21/2022 3:04:56 PM,95.8,1.916,1.074,1.78,1.57
2,AOZ,9/21/2022 3:06:40 PM,27.8,0.556,0.308,1.81,0.7
3,BIW,9/21/2022 3:07:19 PM,136.8,2.737,1.594,1.72,1.09
4,BTZ,9/21/2022 3:08:00 PM,22.4,0.447,0.262,1.71,0.77
5,DKM,9/21/2022 3:08:47 PM,295,5.9,3.221,1.83,2.22
6,HJW,9/21/2022 3:09:32 PM,182.9,3.658,2.054,1.78,1.41
7,EIV,9/21/2022 3:10:08 PM,184.3,3.687,2.017,1.83,2.11
8,LOT,9/21/2022 3:11:07 PM,172.4,3.449,1.909,1.81,1.79
9,MNP,9/21/2022 3:11:53 PM,194,3.88,2.111,1.84,2.05
10,SUZ,9/21/2022 3:12:47 PM,170.6,3.411,1.863,1.83,1.95
11,ARS,9/21/2022 6:34:19 PM,157.7,3.154,1.701,1.85,2
12,BKV,9/21/2022 6:35:03 PM,58.4,1.168,0.648,1.8,1.19
13,CFV,9/21/2022 6:35:37 PM,85.9,1.717,0.946,1.82,1.72
14,OSZ,9/21/2022 6:36:15 PM,147.4,2.949,1.595,1.85,1.92
15,EKV,9/21/2022 6:36:49 PM,173.3,3.467,1.873,1.85,1.94
16,GQU,9/21/2022 6:37:23 PM,135,2.7,1.474,1.83,1.81
17,KMQ,9/21/2022 6:37:57 PM,224.5,4.49,2.432,1.85,1.98
18,NRU,9/21/2022 6:38:29 PM,216.4,4.328,2.354,1.84,1.99
19,NRV,9/21/2022 6:39:02 PM,54.6,1.092,0.599,1.82,1.42
20,NSX,9/21/2022 6:39:36 PM,163.3,3.265,1.779,1.84,1.95
21,AHU,9/22/2022 2:21:21 PM,197.5,3.95,2.176,1.82,1.96
22,BKY,9/22/2022 2:22:02 PM,27.6,0.553,0.328,1.69,0.46
23,CGS,9/22/2022 2:22:37 PM,234.5,4.69,2.579,1.82,2.02
24,EIS,9/22/2022 2:23:12 PM,219.5,4.391,2.427,1.81,1.34
25,FGW,9/22/2022 2:23:59 PM,43.3,0.867,0.503,1.72,1.21
26,FYZ,9/22/2022 2:24:40 PM,127.4,2.549,1.397,1.82,1.74
27,HKS,9/22/2022 2:25:21 PM,204.5,4.089,2.291,1.78,1.72
28,HQZ,9/22/2022 2:25:56 PM,204.3,4.086,2.243,1.82,2.09
29,IMQ,9/22/2022 2:26:29 PM,209.3,4.187,2.295,1.82,2.18
30,PQY,9/22/2022 2:27:11 PM,34.5,0.69,0.4,1.72,1.04
1,AEQ,9/22/2022 5:56:22 PM,126.5,2.529,1.361,1.86,1.57
2,AFV,9/22/2022 5:57:28 PM,108.4,2.169,1.159,1.87,2.15
3,GHI,9/22/2022 5:58:07 PM,107.4,2.147,1.152,1.86,1.64
4,GHL,9/22/2022 5:58:44 PM,183.5,3.67,1.984,1.85,1.53
5,HVW,9/22/2022 5:59:25 PM,232.1,4.642,2.541,1.83,2.03
6,HJU,9/22/2022 6:00:01 PM,126.6,2.531,1.386,1.83,2.08
7,HKX,9/22/2022 6:00:37 PM,115.8,2.317,1.245,1.86,1.72
8,KMS,9/22/2022 6:01:13 PM,74.5,1.49,0.803,1.86,1.78
9,JXZ,9/22/2022 6:01:50 PM,106.3,2.127,1.156,1.84,1.93
10,OPZ,9/22/2022 6:02:21 PM,155.8,3.116,1.682,1.85,2.06
11,ALR,9/22/2022 8:25:34 PM,144,2.88,1.553,1.85,1.96
12,CLS,9/22/2022 8:26:16 PM,38.1,0.762,0.417,1.83,1.38
13,DKW,9/22/2022 8:26:52 PM,218.5,4.37,2.365,1.85,2.04
