File Name,qPCR_eimeria_lab_fecal_DB_29092022.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-04-11 01:45:16 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-04-11 03:05:36 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,80 minutes 19 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-05-16 02:39:48 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.2,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-05-16 02:40:30 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,AWY,Eim,UNKNOWN,SYBR,None,Amp,1.502851074723370,,,34.89440626410800,0.9511748336657700,36.42313690155940,2.161951600698920,TRUE,0.19986739129789400,TRUE,3,29,77.9719467163086,,,
2,A2,FALSE,AWY,Eim,UNKNOWN,SYBR,None,No Amp,0.8565198246617110,,,Undetermined,0.0,,,TRUE,0.19986739129789400,TRUE,3,35,87.18809509277340,66.94278717041020,82.50447845458980,73.74158477783200
3,A3,FALSE,AWY,Eim,UNKNOWN,SYBR,None,Inconclusive,1.1763304804055600,,,37.95186753901080,0.7706614884878000,36.42313690155940,2.161951600698920,TRUE,0.19986739129789400,TRUE,3,33,73.89266967773440,79.63388061523440,87.33917999267580,67.547119140625
4,A4,FALSE,DOU,Eim,UNKNOWN,SYBR,None,Amp,1.5697962688819000,,,20.612232702154300,0.9849998912594350,20.61891504797910,0.009165809431241570,TRUE,0.19986739129789400,TRUE,3,15,76.91435241699220,,,
5,A5,FALSE,DOU,Eim,UNKNOWN,SYBR,None,Amp,1.586375323663670,,,20.629364086485200,0.9837581991470660,20.61891504797910,0.009165809431241570,TRUE,0.19986739129789400,TRUE,3,16,77.07584381103520,,,
6,A6,FALSE,DOU,Eim,UNKNOWN,SYBR,None,Amp,1.5710499918913600,,,20.615148355297800,0.9770011867179590,20.61891504797910,0.009165809431241570,TRUE,0.19986739129789400,TRUE,3,15,76.9246597290039,,,
7,A7,FALSE,HXY,Eim,UNKNOWN,SYBR,None,Amp,1.5765431901213500,,,24.458351649545700,0.9347491708032380,24.56277073204700,0.11186664769121000,TRUE,0.19986739129789400,TRUE,3,20,76.9246597290039,,,
8,A8,FALSE,HXY,Eim,UNKNOWN,SYBR,None,Amp,1.5657313403804900,,,24.5491271164032,0.9651728902563410,24.56277073204700,0.11186664769121000,TRUE,0.19986739129789400,TRUE,3,20,76.9246597290039,,,
9,A9,FALSE,HXY,Eim,UNKNOWN,SYBR,None,Amp,1.562855738083100,,,24.68083343019220,0.9554526822607410,24.56277073204700,0.11186664769121000,TRUE,0.19986739129789400,TRUE,3,20,76.93782043457030,,,
