File Name,29_09_EIM_E64_a_DB_1.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-09-29 08:21:18 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-09-29 09:39:31 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,78 minutes 14 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-05-16 02:48:26 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.2,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-10-03 11:06:12 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,LKT,Eim,UNKNOWN,SYBR,None,Amp,0.8915540391781650,,,36.98266636812020,0.8945708583542260,32.75512530593630,4.075605968556890,TRUE,0.05236898143598240,TRUE,3,34,73.71849060058590,,,
2,A2,FALSE,LKT,Eim,UNKNOWN,SYBR,None,Amp,1.2777705815718200,,,32.432021253169800,0.9777440358000370,32.75512530593630,4.075605968556890,TRUE,0.05236898143598240,TRUE,3,29,73.71849060058590,,,
3,A3,FALSE,LKT,Eim,UNKNOWN,SYBR,None,Amp,1.332744155576030,,,28.850688296518900,0.9737780036114930,32.75512530593630,4.075605968556890,TRUE,0.05236898143598240,TRUE,3,26,73.86930847167970,,,
4,A4,FALSE,RSU,Eim,UNKNOWN,SYBR,None,Amp,1.4177001065048000,,,28.41611280923160,0.8516458950120140,28.018820485885700,0.37406626343293000,TRUE,0.05236898143598240,TRUE,3,25,78.09229278564450,72.05946350097660,61.954471588134800,
5,A5,FALSE,RSU,Eim,UNKNOWN,SYBR,None,Amp,1.4568148833327200,,,27.96695537474890,0.8567821297525020,28.018820485885700,0.37406626343293000,TRUE,0.05236898143598240,TRUE,3,25,82.1786117553711,75.38673400878910,78.40534973144530,61.953895568847700
6,A6,FALSE,RSU,Eim,UNKNOWN,SYBR,None,Amp,1.4427723394084600,,,27.673393273676700,0.8730504267281970,28.018820485885700,0.37406626343293000,TRUE,0.05236898143598240,TRUE,3,24,78.2544174194336,82.1786117553711,75.38673400878910,61.953895568847700
7,A7,FALSE,MRZ,Eim,UNKNOWN,SYBR,None,Amp,1.4685244175366900,,,25.612893712147200,0.9562763159095370,25.489041765548600,0.26884490047764000,TRUE,0.05236898143598240,TRUE,3,22,75.38673400878910,,,
8,A8,FALSE,MRZ,Eim,UNKNOWN,SYBR,None,Amp,1.457807393763720,,,25.673637803448200,0.9572559250023220,25.489041765548600,0.26884490047764000,TRUE,0.05236898143598240,TRUE,3,22,75.38673400878910,,,
9,A9,FALSE,MRZ,Eim,UNKNOWN,SYBR,None,Amp,1.4526015304656500,,,25.180593781050400,0.928309437212386,25.489041765548600,0.26884490047764000,TRUE,0.05236898143598240,TRUE,3,21,75.55422973632810,,,
10,A10,FALSE,,Eim,UNKNOWN,SYBR,None,Amp,1.3518899157198600,,,32.623300791791300,0.979268885310469,29.4890809333756,4.060068997088290,TRUE,0.05236898143598240,TRUE,3,29,73.28813171386720,,,
