File Name,11_10_a_E64_eim_lab_DB.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-10-11 12:37:50 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-10-11 01:56:19 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,78 minutes 14 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-05-16 02:48:26 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.2,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-10-20 06:55:38 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","E57byLOR","Eim","UNKNOWN","SYBR","None","Inconclusive","1.126664372376666","","","37.12110202291811","0.8633250377223678","36.15124028690136","0.8598761936866922","true","0.1044425972121083","true","3","33","75.238037109375","","",""
"2","A2","false","E57byLOR","Eim","UNKNOWN","SYBR","None","Amp","1.2196132789025673","","","35.85046486471842","0.8761963668594863","36.15124028690136","0.8598761936866922","true","0.1044425972121083","true","3","31","74.33238983154297","","",""
"3","A3","false","E57byLOR","Eim","UNKNOWN","SYBR","None","Amp","1.2610872840988558","","","35.48215397306757","0.9037962036015507","36.15124028690136","0.8598761936866922","true","0.1044425972121083","true","3","31","75.08709716796875","","",""
"4","A4","false","E57byNUY","Eim","UNKNOWN","SYBR","None","Amp","1.4431568730424333","","","19.867440377540014","0.882011295511664","19.87585229683352","0.08507136089334684","true","0.1044425972121083","true","3","16","75.53992462158203","","",""
"5","A5","false","E57byNUY","Eim","UNKNOWN","SYBR","None","Amp","1.4627484120781091","","","19.9648171271352","0.8820596493304629","19.87585229683352","0.08507136089334684","true","0.1044425972121083","true","3","16","75.5504150390625","","",""
"6","A6","false","E57byNUY","Eim","UNKNOWN","SYBR","None","Amp","1.4384065695194357","","","19.795299385825352","0.8735708496092525","19.87585229683352","0.08507136089334684","true","0.1044425972121083","true","3","16","75.70146942138672","","",""
"7","A7","false","NTC","Eim","UNKNOWN","SYBR","None","Amp","1.3412205612211432","","","33.60833540733634","0.9813431680737225","34.47267312312612","0.7699654325257252","true","0.1044425972121083","true","3","29","72.68045043945312","75.70146942138672","62.40900802612305",""
"8","A8","false","NTC","Eim","UNKNOWN","SYBR","None","Amp","1.2980313215225092","","","35.085222140910645","0.9721050293584572","34.47267312312612","0.7699654325257252","true","0.1044425972121083","true","3","29","72.83150482177734","","",""
"9","A9","false","NTC","Eim","UNKNOWN","SYBR","None","Amp","1.324973417219207","","","34.724461821131385","0.9822283918682275","34.47267312312612","0.7699654325257252","true","0.1044425972121083","true","3","30","72.84368133544922","77.53028869628906","",""
